indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2002,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2004,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2005,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2008,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2014,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Jamaica,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2002,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2004,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2005,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2008,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Jamaica,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Jamaica,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Jamaica,2014,1,Number,,742
