indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Saint Vincent and the Grenadines,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Saint Vincent and the Grenadines,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Saint Vincent and the Grenadines,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Saint Vincent and the Grenadines,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Saint Vincent and the Grenadines,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Saint Vincent and the Grenadines,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Saint Vincent and the Grenadines,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Saint Vincent and the Grenadines,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Saint Vincent and the Grenadines,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Saint Vincent and the Grenadines,2010,1,Number,,742
