indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2005,4,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2020,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1990,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1993,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1994,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2002,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2003,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2014,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2016,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2017,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2009,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2014,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Honduras,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Honduras,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Honduras,2022,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2022,2,Number,,742
