indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2018,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,1996,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2002,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2004,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2005,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2008,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wet mass desplacement,Number of events,Costa Rica,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Costa Rica,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2022,1,Number,,742
